iter	RMSE
0	0.8507615357
1	0.8299399897
2	0.810143574
3	0.7917674707
4	0.7752624155
5	0.7596279182
6	0.744226293
7	0.7294948341
8	0.7152842008
9	0.7032014851
10	0.6907107797
11	0.6801768794
12	0.6694201867
13	0.6595806661
14	0.6501553511
15	0.6410740745
16	0.6326464173
17	0.6252817228
18	0.6176747297
19	0.6103847891
20	0.6040513941
21	0.5968364259
22	0.5908237483
23	0.5838067671
24	0.5790149558
25	0.5746564689
26	0.5700951276
27	0.565216195
28	0.5599523609
29	0.5555613332
30	0.5510987486
31	0.5469560443
32	0.544195644
33	0.5408663707
34	0.5380911706
35	0.5348266834
36	0.5323841534
37	0.5294252933
38	0.5268739465
39	0.5243862123
40	0.5222883243
41	0.5191456337
42	0.517045791
43	0.5151057894
44	0.5123593911
45	0.5104289124
46	0.5077855303
47	0.5060672618
48	0.5046580672
49	0.5033101998
50	0.5010773321
51	0.4995397141
52	0.4982383216
53	0.4963971711
54	0.4949907089
55	0.4932629811
56	0.4920812326
57	0.4903753573
58	0.4890681801
59	0.4880078436
60	0.4862473648
61	0.4855212658
62	0.4839262622
63	0.4824819285
64	0.4807211693
65	0.4797048232
66	0.4790220474
67	0.4782848884
68	0.476909946
69	0.4760832959
70	0.4752915777
71	0.4743623049
72	0.4737345179
73	0.4732135716
74	0.4719941926
75	0.4710946188
76	0.4698478943
77	0.4689062705
78	0.4679937976
79	0.4668083185
80	0.4664390048
81	0.4651862011
82	0.4639436843
83	0.4631266759
84	0.4626972198
85	0.46173842
86	0.4610673184
87	0.460215121
88	0.4595897026
89	0.4588136271
90	0.4580336113
91	0.4574324489
92	0.4570068211
93	0.4564741919
94	0.4555154723
95	0.4550721828
96	0.4548149248
97	0.4541605739
98	0.4537615011
99	0.453375084
100	0.4527131567
101	0.4516872867
102	0.4512267871
103	0.4508095565
104	0.4504722937
105	0.4501353972
106	0.4498370456
107	0.449438523
108	0.4487253745
109	0.4480450567
110	0.4476870445
111	0.447339351
112	0.4470222163
113	0.4465782395
114	0.4460592061
115	0.445707689
116	0.4450578083
117	0.4446559125
118	0.4442831924
119	0.44399247
120	0.4432953353
121	0.4428272056
122	0.442296655
123	0.4420152889
124	0.4412955488
125	0.4409205425
126	0.4404980659
127	0.439703242
128	0.4393270804
129	0.4391459004
130	0.4384039162
131	0.437915559
132	0.4370857234
133	0.4368088368
134	0.4364019335
135	0.4358771318
136	0.4348855359
137	0.4341128498
138	0.4337158066
139	0.4331720816
140	0.4326575493
141	0.4321294882
142	0.4318315442
143	0.4315894412
144	0.4312901019
145	0.4303699019
146	0.4299943568
147	0.429570454
148	0.4292241317
149	0.4287536724
150	0.4279852124
151	0.4275549727
152	0.4272039861
153	0.4269458947
154	0.4267408035
155	0.4264733345
156	0.4256769696
157	0.4254060487
158	0.4250761401
159	0.4245895459
160	0.4242435503
161	0.4240432083
162	0.4233043499
163	0.4228829137
164	0.4225191659
165	0.4221087932
166	0.4216354026
167	0.4212784503
168	0.4206415484
169	0.4199389762
170	0.4197207326
171	0.4195225123
172	0.4187891144
173	0.4183495592
174	0.4179676224
175	0.4175383812
176	0.4173745874
177	0.416768116
178	0.4161565925
179	0.4159835475
180	0.4155253643
181	0.4151735897
182	0.4145376767
183	0.4141872837
184	0.4139908902
185	0.4136096066
186	0.4132122958
187	0.412572944
188	0.4122071723
189	0.4115911338
190	0.4113357026
191	0.4109268141
192	0.4102529538
193	0.4096275829
194	0.4093912682
195	0.4090386241
196	0.4087274671
197	0.4084335433
198	0.4082098264
199	0.4077212742
200	0.4070625769
201	0.4065071688
202	0.405926712
203	0.4056251439
204	0.4049992915
205	0.4047607533
206	0.4045251459
207	0.4042704295
208	0.4037449697
209	0.4034607571
210	0.4031486184
211	0.4026199488
212	0.4023374994
213	0.4020993646
214	0.4017223195
215	0.4015338279
216	0.4012948527
217	0.4009601405
218	0.4005363839
219	0.4003496194
220	0.3998469405
221	0.3997091307
222	0.3991578492
223	0.3986109768
224	0.3981943682
225	0.397876303
226	0.3977030286
227	0.3975168765
228	0.3972869511
229	0.397103779
230	0.3966436063
231	0.3964261926
232	0.3961745854
233	0.3960584675
234	0.3955415325
235	0.3954100782
236	0.3951111818
237	0.3947038922
238	0.3944857222
239	0.3942233615
240	0.3936379285
241	0.3933372596
242	0.3931333308
243	0.3928682957
244	0.3926916985
245	0.3920995921
246	0.3918240616
247	0.3915627687
248	0.3912468081
249	0.3910743969
250	0.3906936994
251	0.3904500434
252	0.3902115806
253	0.3899824474
254	0.3897495515
255	0.3893036538
256	0.3889534639
257	0.3885351734
258	0.3883315377
259	0.3880941966
260	0.3878739931
261	0.3876608134
262	0.3872987732
263	0.387091463
264	0.3868601756
265	0.386623123
266	0.3860133975
267	0.3857342624
268	0.3855369704
269	0.3853259182
270	0.3851383521
271	0.3847988347
272	0.3845124451
273	0.3841625424
274	0.3836951144
275	0.3833007729
276	0.3831416586
277	0.3828260025
278	0.3825584627
279	0.3824085478
280	0.3822193084
281	0.3820492059
282	0.3818857134
283	0.3817519549
284	0.3813988439
285	0.3810390716
286	0.3806889107
287	0.3805030756
288	0.3803131714
289	0.3801010918
290	0.379783293
291	0.3796088096
292	0.3793040304
293	0.3791335735
294	0.3789801948
295	0.3787792605
296	0.3785855258
297	0.3784592517
298	0.3781452038
299	0.3778104571
300	0.3770508445
301	0.3768570559
302	0.3766873096
303	0.3765160968
304	0.3762375278
305	0.3761182025
306	0.3759500979
307	0.3758020419
308	0.375610871
309	0.3754976995
310	0.3751843113
311	0.374837762
312	0.3746664612
313	0.3742187679
314	0.3739382367
315	0.3737148758
316	0.3733275646
317	0.3731343446
318	0.3728845575
319	0.3727787925
320	0.3725715001
321	0.3723878228
322	0.3714991316
323	0.3711590942
324	0.3708187394
325	0.3706576318
326	0.370460695
327	0.3703211198
328	0.3701589373
329	0.3697057026
330	0.3694091881
331	0.3692598151
332	0.3689772945
333	0.3687880162
334	0.3686577531
335	0.3684239366
336	0.3681895716
337	0.3676486478
338	0.3673082126
339	0.3666415074
340	0.3663077699
341	0.3659617848
342	0.3658457129
343	0.3656812132
344	0.3654567095
345	0.3653302471
346	0.3650533174
347	0.3647991497
348	0.3644031775
349	0.3641598997
350	0.3640250986
351	0.3638652799
352	0.3635816063
353	0.3632048684
354	0.363030972
355	0.3628042272
356	0.3626492972
357	0.3625757542
358	0.3622703268
359	0.3620946496
360	0.3619601305
