iter	Passed	Remaining
0	1	1897
1	2	1451
2	3	1303
3	4	1231
4	8	1668
5	9	1649
6	12	1721
7	13	1628
8	14	1618
9	15	1558
10	16	1520
11	17	1474
12	18	1439
13	20	1454
14	22	1459
15	24	1477
16	25	1446
17	27	1509
18	30	1599
19	32	1575
20	33	1546
21	35	1595
22	37	1590
23	38	1583
24	41	1607
25	42	1584
26	43	1582
27	45	1577
28	46	1559
29	47	1542
30	48	1523
31	49	1507
32	51	1509
33	53	1515
34	54	1501
35	55	1491
36	56	1477
37	59	1497
38	60	1485
39	61	1473
40	62	1459
41	63	1446
42	65	1448
43	66	1436
44	67	1428
45	68	1417
46	70	1429
47	71	1427
48	73	1434
49	75	1434
50	76	1425
51	78	1422
52	79	1416
53	80	1410
54	82	1413
55	83	1405
56	84	1397
57	85	1388
58	87	1403
59	89	1402
60	91	1403
61	92	1400
62	94	1408
63	97	1420
64	98	1415
65	99	1408
66	101	1416
67	104	1425
68	105	1419
69	106	1415
70	110	1441
71	111	1434
72	112	1427
73	113	1421
74	114	1414
75	115	1407
76	117	1402
77	118	1405
78	121	1415
79	125	1438
80	127	1445
81	128	1439
82	130	1444
83	132	1440
84	133	1435
85	134	1432
86	138	1452
87	139	1447
88	142	1456
89	143	1450
90	144	1444
91	145	1438
92	147	1437
93	148	1432
94	152	1451
95	153	1450
96	155	1444
97	156	1439
98	157	1433
99	158	1429
100	160	1424
101	161	1421
102	162	1417
103	163	1411
104	165	1406
105	167	1410
106	170	1422
107	172	1427
108	174	1423
109	175	1420
110	177	1422
111	179	1419
112	182	1435
113	184	1434
114	187	1439
115	190	1452
116	191	1448
117	193	1444
118	197	1462
119	198	1457
120	200	1452
121	201	1448
122	202	1444
123	205	1448
124	206	1443
125	207	1438
126	208	1434
127	209	1429
128	210	1424
129	212	1419
130	214	1422
131	216	1423
132	217	1419
133	219	1417
134	220	1412
135	221	1408
136	222	1403
137	223	1398
138	225	1394
139	226	1390
140	227	1385
141	228	1381
142	229	1377
143	231	1376
144	232	1372
145	233	1368
146	235	1364
147	236	1360
148	237	1357
149	238	1354
150	240	1350
151	241	1346
152	242	1342
153	243	1339
154	245	1339
155	248	1343
156	251	1351
157	252	1347
158	254	1343
159	255	1340
160	256	1337
161	258	1335
162	259	1332
163	261	1331
164	262	1328
165	264	1327
166	265	1323
167	267	1323
168	269	1323
169	271	1326
170	273	1324
171	274	1321
172	277	1324
173	279	1327
174	280	1324
175	285	1334
176	287	1336
177	290	1342
178	292	1339
179	293	1337
180	295	1334
181	296	1332
182	299	1338
183	301	1335
184	302	1333
185	305	1335
186	307	1337
187	309	1335
188	311	1338
189	313	1337
190	314	1333
191	316	1330
192	317	1327
193	318	1324
194	319	1320
195	321	1318
196	322	1315
197	323	1311
198	325	1308
199	326	1306
200	329	1309
201	332	1312
202	333	1309
203	336	1311
204	337	1310
205	339	1307
206	342	1313
207	345	1316
208	346	1313
209	348	1310
210	350	1309
211	351	1306
212	353	1304
213	357	1312
214	359	1312
215	360	1309
216	362	1306
217	364	1307
218	366	1306
219	367	1303
220	373	1317
221	375	1315
222	377	1314
223	379	1315
224	385	1329
225	387	1326
226	388	1323
227	391	1325
228	392	1322
229	394	1320
230	395	1316
231	398	1317
232	399	1314
233	404	1323
234	407	1325
235	408	1322
236	410	1320
237	418	1340
238	424	1352
239	426	1350
240	428	1350
241	430	1347
242	432	1347
243	433	1344
244	436	1345
245	438	1343
246	439	1340
247	441	1337
248	442	1334
249	443	1330
250	444	1327
251	446	1325
252	447	1322
253	450	1323
254	452	1322
255	454	1320
256	455	1317
257	456	1314
258	458	1310
259	459	1307
260	460	1303
261	461	1300
262	463	1299
263	465	1296
264	466	1295
265	468	1292
266	469	1289
267	470	1286
268	472	1283
269	473	1279
270	474	1276
271	475	1273
272	477	1270
273	478	1267
274	479	1265
275	481	1262
276	482	1259
277	483	1256
278	485	1253
279	486	1250
280	487	1247
281	489	1245
282	490	1242
283	491	1239
284	492	1236
285	494	1233
286	495	1230
287	496	1227
288	497	1224
289	499	1221
290	500	1218
291	501	1215
292	502	1213
293	503	1210
294	505	1207
295	506	1204
296	507	1202
297	509	1199
298	510	1196
299	512	1196
300	514	1194
301	515	1191
302	516	1188
303	517	1185
304	519	1182
305	520	1180
306	521	1177
307	522	1174
308	525	1175
309	527	1174
310	529	1172
311	530	1170
312	533	1170
313	535	1170
314	536	1167
315	538	1165
316	539	1162
317	541	1160
318	547	1168
319	549	1167
320	552	1167
321	553	1165
322	554	1163
323	556	1160
324	557	1157
325	558	1155
326	562	1158
327	568	1164
328	571	1166
329	573	1164
330	577	1167
331	582	1171
332	584	1171
333	586	1170
334	588	1167
335	589	1164
336	592	1166
337	594	1164
338	598	1166
339	599	1164
340	601	1161
341	602	1159
342	604	1157
343	605	1154
344	606	1151
345	612	1157
346	614	1155
347	615	1153
348	617	1151
349	619	1149
350	620	1148
351	622	1145
352	625	1146
353	627	1145
354	632	1149
355	633	1146
356	635	1144
357	636	1141
358	640	1142
359	642	1141
360	647	1145
361	648	1143
362	649	1140
363	652	1139
364	653	1137
365	655	1135
366	657	1134
367	660	1133
368	661	1131
369	662	1128
370	664	1125
371	665	1123
372	668	1122
373	672	1125
374	676	1128
375	678	1125
376	679	1123
377	680	1120
378	682	1118
379	684	1116
380	685	1114
381	688	1113
382	689	1111
383	690	1108
384	692	1105
385	693	1103
386	696	1103
387	698	1101
388	700	1099
389	701	1097
390	702	1094
391	704	1092
392	705	1089
393	706	1086
394	708	1084
395	709	1081
396	711	1080
397	712	1078
398	714	1075
399	715	1073
400	716	1070
401	718	1068
402	719	1065
403	720	1063
404	721	1060
405	723	1058
406	724	1055
407	725	1053
408	727	1051
409	729	1049
410	730	1047
411	732	1046
412	734	1043
413	735	1041
414	736	1038
415	738	1036
416	739	1033
417	741	1031
418	742	1029
419	744	1027
420	746	1026
421	747	1023
422	748	1021
423	750	1018
424	751	1016
425	753	1015
426	756	1014
427	757	1012
428	758	1010
429	761	1009
430	762	1006
431	764	1004
432	765	1002
433	767	1001
434	770	1000
435	771	998
436	772	995
437	774	993
438	775	990
439	776	988
440	778	986
441	779	984
442	783	984
443	784	982
444	786	980
445	787	978
446	789	976
447	790	973
448	791	971
449	793	969
450	796	969
451	797	966
452	798	964
453	800	962
454	801	960
455	802	957
456	804	955
457	805	953
458	807	951
459	808	949
460	809	946
461	811	944
462	812	942
463	813	940
464	815	938
465	816	935
466	818	933
467	819	931
468	820	929
469	822	927
470	823	924
471	824	922
472	826	920
473	827	918
474	828	915
475	829	913
476	831	911
477	833	909
478	834	907
479	835	905
480	838	904
481	839	902
482	840	900
483	842	897
484	843	895
485	844	893
486	846	891
487	847	888
488	848	886
489	849	884
490	851	882
491	852	880
492	853	877
493	854	875
494	856	873
495	857	871
496	858	869
497	859	866
498	861	864
499	862	862
500	863	860
501	865	858
502	866	856
503	867	853
504	868	851
505	870	849
506	871	847
507	872	845
508	874	843
509	875	841
510	876	839
511	878	836
512	879	834
513	880	832
514	881	830
515	883	828
516	884	826
517	885	824
518	887	822
519	888	820
520	889	817
521	890	815
522	892	813
523	893	811
524	894	809
525	896	807
526	897	805
527	898	803
528	900	801
529	901	799
530	902	797
531	903	795
532	905	793
533	906	791
534	907	788
535	908	786
536	910	784
537	911	783
538	913	781
539	915	779
540	916	777
541	919	776
542	921	775
543	923	774
544	925	772
545	928	772
546	929	770
547	933	769
548	934	767
549	936	765
550	937	763
551	938	761
552	940	759
553	945	760
554	947	759
555	950	759
556	952	757
557	953	755
558	954	753
559	956	751
560	957	749
561	959	747
562	962	747
563	964	745
564	965	743
565	967	741
566	968	739
567	970	737
568	971	735
569	972	733
570	974	732
571	977	731
572	978	729
573	982	729
574	984	727
575	985	725
576	987	723
577	988	721
578	989	719
579	993	719
580	995	718
581	997	716
582	999	714
583	1000	712
584	1001	710
585	1003	708
586	1006	708
587	1009	707
588	1011	705
589	1012	703
590	1014	701
591	1017	701
592	1018	699
593	1020	697
594	1021	695
595	1023	694
596	1027	693
597	1028	691
598	1031	690
599	1032	688
600	1034	686
601	1035	684
602	1038	683
603	1042	683
604	1045	682
605	1047	680
606	1053	682
607	1055	680
608	1057	679
609	1061	678
610	1062	676
611	1064	674
612	1070	675
613	1072	674
614	1075	673
615	1077	671
616	1081	671
617	1085	670
618	1086	668
619	1087	666
620	1089	664
621	1090	662
622	1092	661
623	1096	660
624	1099	659
625	1100	657
626	1102	655
627	1105	654
628	1107	652
629	1111	653
630	1113	651
631	1114	649
632	1119	649
633	1122	647
634	1124	646
635	1127	645
636	1129	643
637	1131	641
638	1133	640
639	1138	640
640	1140	638
641	1141	636
642	1142	634
643	1144	632
644	1146	630
645	1147	628
646	1149	626
647	1151	625
648	1154	624
649	1155	622
650	1157	620
651	1159	618
652	1160	616
653	1162	614
654	1163	612
655	1164	610
656	1166	608
657	1167	606
658	1168	604
659	1170	602
660	1171	600
661	1172	598
662	1173	596
663	1175	594
664	1177	593
665	1178	591
666	1180	589
667	1181	587
668	1183	585
669	1184	583
670	1186	581
671	1188	579
672	1190	578
673	1192	576
674	1193	574
675	1194	572
676	1197	571
677	1198	569
678	1201	567
679	1202	565
680	1205	564
681	1206	562
682	1208	560
683	1209	558
684	1210	556
685	1212	554
686	1213	552
687	1214	550
688	1216	549
689	1219	547
690	1221	546
691	1223	544
692	1224	542
693	1226	540
694	1227	538
695	1228	536
696	1230	534
697	1231	532
698	1232	530
699	1234	529
700	1235	527
701	1237	525
702	1238	523
703	1239	521
704	1241	519
705	1242	517
706	1243	515
707	1245	513
708	1246	511
709	1247	509
710	1249	507
711	1250	505
712	1251	503
713	1252	501
714	1254	499
715	1255	497
716	1256	496
717	1258	494
718	1259	492
